value,base_rate,base_rate_se,coefficient_amplification,se_amplification,colin_ampcoef,colin_ampcoef_se,ampcoef_pca
Tolerance,1.0567093,0.014795785,-0.04798,0.01134,-0.0263569,0.0100763,-0.0020953368
Preservation of Nature,0.7034266,0.014309316,-0.026535,0.008436,0.0033579,0.0045222,-0.0029331135
Universal Concern,1.2853774,0.016917294,-0.03799,0.01171,0.0089546,0.010235,-0.0056057896
Dependability,1.4190922,0.016687388,-0.05635,0.01356,-0.0213434,0.0121519,-0.0092376385
Caring,1.5877444,0.017039358,-0.05105,0.0114,-0.0128233,0.0100782,-0.0127964942
Humility,1.5502423,0.01928902,0.04685,0.01195,0.0132367,0.010099,-0.0004182434
Interpersonal Confirmity,0.8910083,0.010899127,0.1517,0.0134,0.046491,0.0133882,0.0144859202
Rule Conformity,1.0042696,0.01278232,0.13082,0.007143,0.0003788,0.0109525,0.0228566494
Tradition,1.025031,0.011023976,0.123678,0.009336,0.0062319,0.0086125,0.0172810432
Societal Security,1.0617709,0.013004823,0.133025,0.007442,0.0309806,0.0125407,0.0214353422
Personal Security,0.3226693,0.005966952,0.12171,0.01592,-0.0082165,0.0096698,0.0031157035
Face,1.0047367,0.008893076,0.07285,0.009849,0.0417223,0.0101982,-0.0002328116
Resources,5.98E-01,8.19E-03,-2.17E-05,1.88E-02,0.0387551,0.0160171,-0.0001012178
Dominance,0.5525677,0.007051058,-0.08766,0.0225,-0.0827719,0.0167874,0.0019420543
Achievement,0.7810871,0.01011549,-0.022749,0.009776,-0.007934,0.0104924,-0.0025251636
Hedonism,1.394103,0.019265091,-0.035596,0.009109,-0.0187127,0.0086171,0.0016042913
Stimulation,0.9119366,0.013594852,-0.01664,0.01878,-0.0112464,0.0133754,0.0056384757
Self-directed Action,1.0275877,0.014420255,0.05446,0.01474,-0.0510147,0.0161043,0.0083317447
Self-directed Thoughts,1.0100679,0.014109835,0.11851,0.01375,0.105636,0.015357,0.0083319036
Self-Transcendence,1.2670987,0.015459424,-0.054164,0.004282,,,
Conservation,0.9799612,0.009528371,0.133125,0.007006,,,
Self-Enhancement,0.86612,0.009615581,-0.036114,0.00694,,,
Openness to Change,1.0859238,0.014958053,0.034336,0.005398,,,
Outcomes for Others,1.1584672,0.013177444,0.002575,0.006319,,,
Outcomes for Self,0.8447624,0.009919808,0.023818,0.007549,,,
PCA1,,,-0.0051475,0.0009652,,,
PCA2,,,-0.0279863,0.0018702,,,
PCA3,,,0.0308058,0.0029424,,,
PCA4,,,-0.0147801,0.002983,,,